Date,Open,High,Low,Close,Adj Close,Volume
1/3/2006,125.190002,127,124.389999,126.699997,96.826912,73256700
1/4/2006,126.860001,127.489998,126.699997,127.300003,97.285431,51899600
1/5/2006,127.150002,127.589996,126.879997,127.379997,97.346588,47307500
1/6/2006,128.020004,128.580002,127.360001,128.440002,98.156647,62885900
1/9/2006,128.419998,129.059998,128.380005,128.770004,98.408859,43527400
1/10/2006,128.389999,128.979996,128.259995,128.899994,98.508209,44960800
1/11/2006,129.020004,129.440002,128.729996,129.309998,98.821533,49598900
1/12/2006,129.080002,129.279999,128.440002,128.800003,98.431801,40509200
1/13/2006,128.570007,128.899994,128.199997,128.679993,98.340065,44856700
1/17/2006,128.199997,128.419998,127.809998,128.330002,98.072601,52066600
1/18/2006,127.580002,128.899994,127.160004,127.82,97.682838,75067600
1/19/2006,128.130005,128.770004,127.809998,128.309998,98.057312,81530400
1/20/2006,128.279999,128.309998,125.970001,125.970001,96.26902,114957800
1/23/2006,126.209999,126.82,126.129997,126.419998,96.612946,67017400
1/24/2006,126.629997,127.150002,126.419998,126.550003,96.712265,53008800
1/25/2006,127.040001,127.18,125.839996,126.660004,96.796341,87747700
1/26/2006,127.25,127.669998,126.760002,127.360001,97.331329,71294000
1/27/2006,127.660004,128.660004,127.449997,128.539993,98.233078,65771200
1/30/2006,128.440002,128.809998,128.350006,128.440002,98.156647,33709600
1/31/2006,128.320007,128.539993,127.489998,127.5,97.438278,72937000
2/1/2006,127.82,128.429993,127.720001,128.389999,98.118446,63561000
2/2/2006,128.100006,128.139999,126.800003,126.900002,96.979752,83626900
2/3/2006,126.580002,128.389999,126.139999,126.269997,96.498306,86040400
2/6/2006,126.440002,126.800003,126.169998,126.599998,96.750481,45511900
2/7/2006,126.379997,126.660004,125.400002,125.480003,95.894585,71208100
2/8/2006,125.849998,128.100006,125.599998,126.620003,96.765785,59422200
2/9/2006,126.919998,127.599998,126.370003,126.410004,96.605309,62023300
2/10/2006,126.43,127.129997,125.449997,126.639999,96.781082,64508700
2/13/2006,126.599998,126.790001,125.949997,126.410004,96.605309,52308700
2/14/2006,126.459999,128.029999,126.209999,127.75,97.629341,90964400
2/15/2006,127.68,128.320007,127.239998,128.199997,97.973236,85471300
2/16/2006,128.339996,129.210007,128.179993,129.160004,98.706879,61017900
2/17/2006,129.050003,129.160004,128.580002,128.809998,98.439438,40342600
2/21/2006,129.110001,129.399994,128.289993,128.490005,98.194878,46456300
2/22/2006,128.770004,129.649994,128.649994,129.270004,98.790955,42326700
2/23/2006,129.270004,129.639999,128.279999,129.080002,98.645775,43423200
2/24/2006,129.110001,129.479996,128.759995,129.410004,98.897942,36777400
2/27/2006,129.399994,130.039993,129.279999,129.460007,98.936172,35858600
2/28/2006,129.199997,129.910004,128.130005,128.229996,97.996185,74394800
3/1/2006,128.600006,129.490005,128.5,129.369995,98.867386,48641600
3/2/2006,128.899994,129.419998,128.610001,129.360001,98.859756,60642300
3/3/2006,128.669998,130.070007,128.649994,128.759995,98.401192,73402500
3/6/2006,129.139999,129.179993,127.849998,128.169998,97.95031,57478400
3/7/2006,127.860001,128.059998,127.400002,127.970001,97.797493,61780800
3/8/2006,127.699997,128.440002,127.18,128.240005,98.003822,66692400
3/9/2006,128.279999,128.679993,127.379997,127.379997,97.346588,56313600
3/10/2006,127.709999,128.839996,127.440002,128.589996,98.271278,60490800
3/13/2006,128.839996,129.160004,128.529999,128.830002,98.454689,45479100
3/14/2006,128.710007,130.229996,128.610001,130.179993,99.486412,69877300
3/15/2006,130.149994,130.860001,129.850006,130.759995,99.929634,53398900
3/16/2006,131.009995,131.470001,130.839996,131.029999,100.136017,65526400
3/17/2006,130.679993,130.899994,130.380005,130.619995,100.219635,47286800
3/20/2006,130.639999,130.899994,130.210007,130.410004,100.058479,45538500
3/21/2006,130.369995,130.990005,129.449997,129.589996,99.429375,87102700
3/22/2006,129.509995,130.509995,129.449997,130.380005,100.035484,51605700
3/23/2006,130.259995,130.389999,129.660004,130.110001,99.828316,46704200
3/24/2006,129.990005,130.570007,129.740005,130.210007,99.90506,43209200
3/27/2006,130.029999,130.279999,129.740005,130.020004,99.759262,32523000
3/28/2006,129.929993,130.529999,129.050003,129.220001,99.145462,82079900
3/29/2006,129.410004,130.5,129.289993,130.029999,99.76693,61505700
3/30/2006,130.110001,130.979996,129.550003,129.800003,99.590469,70571700
3/31/2006,130.020004,130.240005,129.369995,129.830002,99.613457,62925600
4/3/2006,130.070007,130.869995,129.490005,129.729996,99.536758,61624700
4/4/2006,129.729996,130.729996,129.360001,130.559998,100.173584,54809300
4/5/2006,130.610001,131.279999,130.380005,131.009995,100.518883,50607200
4/6/2006,130.850006,131.210007,130.190002,130.869995,100.41143,57906200
4/7/2006,131.059998,131.399994,129.350006,129.539993,99.390991,80180900
4/10/2006,129.740005,130.080002,129.259995,129.740005,99.544426,41496500
4/11/2006,129.850006,130.059998,128.25,128.639999,98.700424,72799400
4/12/2006,128.770004,129.130005,128.610001,128.880005,98.884583,43033700
4/13/2006,128.589996,129.25,128.309998,128.710007,98.754196,51051800
4/17/2006,128.830002,129.309998,128.020004,128.660004,98.715782,64167700
4/18/2006,128.929993,130.940002,128.929993,130.699997,100.281013,92531800
4/19/2006,130.75,131.070007,130.240005,130.949997,100.472824,87269000
4/20/2006,131,131.860001,130.600006,131.130005,100.610909,86005500
4/21/2006,131.690002,131.789993,130.619995,131.149994,100.626259,72342600
4/24/2006,130.889999,131.070007,130.380005,130.910004,100.442131,52546400
